형태소,품사,분류,카운트
것,Noun,김태호,3
것,Noun,노홍철,5
것,Noun,박명수,2
것,Noun,유재석,6
것,Noun,장진영,2
것,Noun,정준하,8
것,Noun,정형돈,6
것,Noun,최단비,5
것입,Noun,장진영,1
게,Josa,길,2
게,Josa,노홍철,3
게,Josa,박명수,2
게,Josa,정준하,1
게,Noun,노홍철,1
게,Noun,정준하,2
겠죠,Verb,노홍철,1
겨를,Noun,김태호,1
겨를,Noun,정준하,1
격려,Noun,박명수,1
결국,Adverb,정준하,1
결심,Noun,모두,1
결혼,Noun,정준하,1
경,Modifier,노홍철,1
경,Noun,김태호,1
경험,Noun,노홍철,1
계,Suffix,노홍철,1
계세,Noun,정준하,1
계속,Noun,길,1
계신,Adjective,유재석,1
계신가요,Adjective,판사,1
계십니다,Adjective,정형돈,1
계약,Noun,박명수,2
계약,Noun,정형돈,3
계약서,Noun,정형돈,1
고,Josa,길,1
고,Josa,노홍철,2
고,Josa,유재석,2
고,Josa,정준하,3
고,Noun,노홍철,1
고,Noun,박명수,1
고루,Noun,정형돈,1
고마워,Adjective,정형돈,1
고문,Noun,박명수,2
고소,Noun,유재석,2
고소하고,Adjective,길,1
고소할,Adjective,길,1
고소할거야,Adjective,길,2
고소할거에요,Adjective,길,1
고여,Noun,정준하,2
고요,Noun,박명수,1
고요,Noun,정준하,1
고쳤어요,Verb,박명수,1
곯아,Verb,박명수,1
공개,Noun,장진영,1
과,Josa,박명수,1
과,Josa,정준하,1
과,Josa,최단비,1
과거,Noun,노홍철,1
과는,Josa,정형돈,1
과목,Noun,박명수,1
과연,Noun,유재석,1
광고,Noun,유재석,1
광고,Noun,정준하,3
광고,Noun,정형돈,5
광고주,Noun,유재석,1
괜찮습니다,Adjective,길,1
괜찮습니다,Adjective,판사,1
굉장히,Adjective,박명수,1
굉장히,Adjective,정형돈,3
구,Modifier,박명수,2
구,Modifier,정형돈,1
구멍,Noun,유재석,1
국민,Noun,길,1
국민,Noun,정형돈,1
군,Noun,박명수,1
굳히,Verb,정형돈,1
굳히기,Verb,정형돈,1
궁금합니다,Adjective,길,1
권력자,Noun,길,2
권력자,Noun,유재석,1
권리,Noun,길,1
귀여운,Adjective,노홍철,1
귀여운,Adjective,정준하,1
귀여운,Adjective,정형돈,1
귓,Noun,유재석,1
귓구멍,Noun,정형돈,1
귓구멍이라뇨,Noun,유재석,1
그,Determiner,유재석,1
그,Noun,길,4
그,Noun,김태호,4
그,Noun,노홍철,7
그,Noun,박명수,8
그,Noun,유재석,3
그,Noun,장진영,3
그,Noun,정준하,1
그,Noun,정형돈,9
그,Noun,최단비,5
그간,Noun,노홍철,1
그거,Noun,김태호,1
그거,Noun,노홍철,1
그거,Noun,박명수,2
그거,Noun,유재석,2
그거,Noun,정준하,1
그거,Noun,정형돈,1
그건,Adverb,유재석,2
그걸,Adverb,박명수,3
그걸,Adverb,정준하,2
그걸,Adverb,정형돈,1
그것,Noun,노홍철,1
그것,Noun,유재석,1
그게,Noun,길,5
그게,Noun,유재석,5
그게,Noun,정준하,3
그게,Noun,정형돈,4
그게,Noun,최단비,1
그날,Noun,정형돈,1
그냥,Noun,노홍철,3
그닥,Noun,길,1
그대로,Noun,김태호,1
그대로,Noun,노홍철,1
그대로,Noun,유재석,1
그때,Noun,길,1
그때,Noun,장진영,1
그래,Adjective,길,1
그래,Adjective,모두,1
그래,Adjective,박명수,1
그래,Adjective,정준하,3
그래,Adjective,정형돈,1
그래그래,Noun,유재석,1
그래도,Adverb,유재석,1
그래서,Adverb,길,1
그래서,Adverb,김태호,2
그래서,Adverb,노홍철,2
그래서,Adverb,유재석,1
그래서,Adverb,정준하,1
그래요,Adjective,길,2
그래요,Adjective,정준하,1
그랬을,Adjective,정준하,1
그러고,Adjective,노홍철,1
그러냐,Adjective,정형돈,1
그러면,Adverb,노홍철,1
그러면,Adverb,유재석,3
그러면,Adverb,정준하,3
그러세요,Adjective,유재석,1
그러십니까,Adjective,정준하,1
그러잖아,Adjective,박명수,1
그러지,Adjective,정준하,1
그런,Adjective,유재석,1
그런,Adjective,정준하,1
그런거,Adjective,정준하,1
그런데,Conjunction,길,2
그런데,Conjunction,최단비,1
그럴,Adjective,정준하,1
그럼,Adjective,길,1
그럼,Adjective,김태호,1
그럼,Adjective,노홍철,1
그럼,Adjective,장진영,1
그럼,Adjective,최단비,2
그럽니다,Adjective,정준하,1
그렇게,Adverb,길,2
그렇게,Adverb,박명수,2
그렇게,Adverb,유재석,2
그렇게,Adverb,장진영,2
그렇게,Adverb,정준하,2
그렇게,Adverb,정형돈,1
그렇게,Adverb,최단비,1
그렇다면,Adjective,길,2
그렇습니다,Adjective,길,1
그렇습니다,Adjective,유재석,2
그렇죠,Adjective,유재석,1
그렇지,Adjective,박명수,2
그렇지,Adjective,유재석,1
그룹,Noun,정준하,1
그리고,Conjunction,김태호,1
그리고,Conjunction,노홍철,2
그리고,Conjunction,박명수,4
그리고,Conjunction,정준하,2
그리고,Conjunction,정형돈,3
그리고요,Verb,길,1
그리구요,Verb,길,1
그림,Noun,정형돈,1
근거,Noun,유재석,1
근데,Adverb,길,1
근데,Adverb,김태호,1
근데,Adverb,유재석,2
근데,Adverb,정준하,3
근데,Adverb,최단비,1
금,Noun,정준하,1
금액,Noun,박명수,1
금융,Noun,박명수,1
금치,Noun,노홍철,1
기,Noun,박명수,1
기,Noun,정형돈,1
기다리십,Verb,정준하,1
기단,Noun,노홍철,1
기본,Noun,노홍철,1
기본,Noun,정형돈,1
기분,Noun,박명수,1
기억,Noun,노홍철,2
기억,Noun,정형돈,2
기억,Noun,최단비,1
긴,Verb,유재석,1
길,Noun,길,1
길,Noun,김태호,2
길,Noun,노홍철,6
길,Noun,박명수,2
길,Noun,장진영,2
길,Noun,정형돈,3
길,Noun,최단비,3
길군,Verb,박명수,1
길성준,Noun,박명수,1
길성준,Noun,정준하,2
길성준,Noun,정형돈,1
길씨,Noun,기자들,1
길씨,Noun,김태호,1
길씨,Noun,노홍철,2
길씨,Noun,유재석,5
길씨,Noun,장진영,1
길씨,Noun,정준하,1
길씨,Noun,정형돈,3
길씨,Noun,최단비,2
길이,Noun,김태호,1
길이,Noun,노홍철,3
길이,Noun,박명수,1
길이,Noun,정형돈,1
김연아,Noun,김태호,1
김연아,Noun,노홍철,1
김태호,Noun,길,3
김태호,Noun,김태호,1
김태호,Noun,노홍철,3
김태호,Noun,박명수,2
김태호,Noun,유재석,2
김태호,Noun,장진영,1
김태호,Noun,정준하,6
김태호,Noun,정형돈,1
김태호,Noun,최단비,1
까지,Josa,김태호,2
까지,Josa,노홍철,1
까지,Josa,박명수,1
까지,Josa,정준하,2
까지,Josa,정형돈,2
까지,Josa,최단비,2
깜짝,Noun,박명수,2
깜짝깜짝,Adverb,박명수,1
깨,Noun,정준하,1
깨고,Verb,정준하,1
깨끗하다는,Adjective,노홍철,1
깨끗한,Adjective,노홍철,1
깨서,Verb,김태호,1
깨워서,Verb,유재석,1
깬,Verb,정준하,2
깼을,Verb,정형돈,1
깼지,Verb,노홍철,1
께,Josa,길,1
께,Josa,정형돈,1
께서,Josa,유재석,1
꼭,Noun,박명수,1
꿇어요,Verb,유재석,1
꿇으시는,Verb,길,1
뀌,Noun,노홍철,1
