형태소,품사,분류,카운트
먼저,Noun,유재석,1
먼저,Noun,장진영,1
먼저,Noun,판사,1
멍,Noun,박명수,1
멍청한,Adjective,박명수,1
멤버,Noun,박명수,1
면,Josa,박명수,1
면,Noun,길,2
면,Noun,정준하,1
명,Noun,유재석,3
명백한,Adjective,노홍철,1
명예,Noun,길,2
명예,Noun,노홍철,6
명예,Noun,유재석,1
명예,Noun,정준하,6
명예,Noun,정형돈,3
명예훼손,Noun,노홍철,3
명예훼손,Noun,유재석,3
명예훼손,Noun,정준하,2
명예훼손죄,Noun,길,5
명의,Noun,노홍철,1
몇,Modifier,박명수,1
몇,Modifier,정형돈,1
몇,Noun,길,1
몇,Noun,장진영,1
모델,Noun,박명수,2
모두,Noun,노홍철,4
모두,Noun,안내인,2
모든,Modifier,노홍철,1
모든,Modifier,정형돈,1
모든,Noun,정형돈,1
모르는,Verb,정형돈,1
모시도록,Verb,노홍철,1
모욕,Noun,길,1
목격,Noun,길,1
목격,Noun,노홍철,1
목격,Noun,정형돈,1
목격자,Noun,노홍철,1
목격자,Noun,장진영,1
목소리,Noun,유재석,2
목소리,Noun,정형돈,1
몰래,Noun,정형돈,1
몰아,Verb,정형돈,1
몰아가니까,Verb,김태호,1
몰아가면,Verb,길,1
몸,Noun,김태호,3
못,Noun,노홍철,1
못,Noun,유재석,1
못,Noun,정형돈,1
못,VerbPrefix,길,1
못,VerbPrefix,박명수,2
못,VerbPrefix,정준하,3
무단,Noun,노홍철,1
무덤,Noun,김태호,1
무렵,Noun,노홍철,1
무릎,Noun,길,1
무릎,Noun,유재석,1
무슨,Modifier,유재석,1
무슨,Modifier,정형돈,1
무슨,Noun,노홍철,1
무슨,Noun,박명수,1
무슨,Noun,유재석,3
무슨,Noun,정준하,1
무슨,Noun,정형돈,4
무식하네,Adjective,길,1
무엇,Noun,길,1
무전,Noun,길,2
무조건,Noun,노홍철,1
무한도전,Noun,길,1
무한도전,Noun,박명수,2
무한도전,Noun,유재석,1
무한도전,Noun,장진영,1
문,Modifier,박명수,1
문,Noun,김태호,1
문어,Noun,노홍철,1
문어,Noun,박명수,1
문자,Noun,김태호,1
문자,Noun,노홍철,1
문자,Noun,유재석,1
문제,Noun,정형돈,2
문젭니,Noun,박명수,1
묻자,Verb,노홍철,1
묻지도,Verb,노홍철,1
물,Noun,김태호,2
물,Noun,노홍철,4
물,Noun,박명수,1
물,Noun,유재석,1
물,Noun,정준하,5
물,Noun,최단비,1
물기,Noun,노홍철,1
물론,Adverb,박명수,1
물소,Noun,김태호,2
물어,Noun,노홍철,1
물어보겠습니다,Verb,길,2
물어보는,Verb,정형돈,1
물어보도록,Verb,정형돈,1
물어보지,Verb,길,1
물어볼게요,Verb,정형돈,1
물어봤습니다,Verb,김태호,1
물었습니다,Verb,노홍철,1
물었을,Verb,노홍철,1
물이,Noun,길,1
물이,Noun,김태호,3
물이,Noun,노홍철,3
물이,Noun,정준하,1
물이,Noun,정형돈,2
물통,Noun,정준하,1
물통이,Noun,정형돈,3
뭐,Noun,기자들,1
뭐,Noun,길,8
뭐,Noun,노홍철,6
뭐,Noun,박명수,4
뭐,Noun,유재석,3
뭐,Noun,정형돈,1
뭐,Noun,최단비,2
뭐라고,Verb,유재석,1
뭐라구요,Verb,유재석,1
뭐라도,Verb,박명수,1
뭔,Modifier,정준하,1
뭔,Modifier,정형돈,1
뭔가,Noun,정형돈,1
뭘,Noun,유재석,1
뭡,Noun,유재석,1
뭡,Noun,정준하,1
미리,Noun,정형돈,1
민,Noun,노홍철,1
민,Noun,정형돈,1
밀려,Verb,길,1
바,Noun,노홍철,1
바,Noun,정준하,1
바닥,Noun,김태호,1
바닥,Noun,정준하,2
바라겠습니다,Verb,정형돈,1
바라보고,Verb,최단비,1
바랍니다,Verb,박명수,2
바랍니다,Verb,최단비,1
바보,Noun,길,1
바보,Noun,노홍철,2
바지,Noun,노홍철,2
바탕,Noun,노홍철,1
박명수,Noun,유재석,1
박수,Noun,길,1
박수,Noun,박명수,1
박수,Noun,유재석,1
박정아,Noun,박명수,1
반,Modifier,장진영,2
반,Modifier,정형돈,1
반,Modifier,판사,1
반,Noun,유재석,1
반바지,Noun,길,2
반박,Noun,장진영,1
반박,Noun,판사,1
받고,Verb,정형돈,1
받기로,Verb,김태호,1
받습니다,Verb,판사,1
받아서,Verb,박명수,1
받아서,Verb,유재석,1
받아야,Verb,박명수,2
받았으니까,Verb,노홍철,1
받으려고,Verb,노홍철,1
받으려면,Verb,정준하,1
받을라고,Verb,박명수,3
발,Noun,노홍철,1
발음,Noun,정준하,1
밝혀야,Verb,유재석,1
밝혀지는군요,Verb,노홍철,1
밤,Noun,길,1
방,Noun,길,2
방,Noun,김태호,1
방,Noun,노홍철,2
방,Noun,정준하,1
방,Noun,정형돈,1
방,Noun,최단비,1
방귀,Noun,노홍철,1
방뇨,Noun,노홍철,1
방뇨,Noun,정형돈,1
방송,Noun,길,5
방송,Noun,노홍철,1
방송,Noun,유재석,1
방송,Noun,장진영,3
방송,Noun,정준하,3
방송,Noun,정형돈,2
방송,Noun,최단비,2
방안,Noun,노홍철,1
배,Noun,김태호,1
배경,Noun,유재석,1
배려,Noun,정형돈,2
배우신,Verb,박명수,1
배치,Noun,정형돈,2
버르장머리,Noun,박명수,1
번,Noun,길,2
번,Noun,박명수,2
번,Noun,정준하,3
번,Noun,정형돈,2
번째,Suffix,박명수,1
벌,Noun,김태호,1
벌써,Noun,정형돈,1
벌어질,Verb,정준하,1
법,Noun,유재석,1
법원,Noun,유재석,1
법정,Noun,노홍철,2
법정,Noun,박명수,2
법정,Noun,정준하,1
법정,Noun,정형돈,1
벗고,Verb,김태호,1
벗고,Verb,정준하,1
변론,Noun,노홍철,1
변론,Noun,박명수,1
변론,Noun,판사,1
변호사,Noun,길,1
변호사,Noun,박명수,1
변호사,Noun,유재석,2
변호사,Noun,정준하,3
변호사,Noun,정형돈,4
변호인,Noun,유재석,1
변호인,Noun,정형돈,3
별,Noun,유재석,1
별명,Noun,유재석,1
별명,Noun,정형돈,3
별명,Noun,최단비,1
보겠습니다,Verb,길,1
보겠습니다,Verb,박명수,2
보겠습니다,Verb,유재석,2
보고,Noun,김태호,1
보고,Noun,박명수,1
보고,Noun,유재석,1
보기,Noun,정준하,1
보기,Noun,정형돈,1
보내셨습니까,Verb,유재석,1
보냈습니다,Verb,김태호,1
보는,Verb,최단비,1
보다,Josa,정형돈,2
보다는,Josa,유재석,1
보도록,Verb,정형돈,1
보리차,Noun,정준하,1
보면,Verb,정준하,1
보면서,Verb,박명수,1
보세요,Verb,길,1
보세요,Verb,노홍철,1
보셨나요,Verb,최단비,1
보셨는데요,Verb,노홍철,1
보셨습니까,Verb,길,1
보신,Noun,최단비,4
보실래요,Verb,정준하,1
보여,Verb,길,1
보였다고요,Verb,길,1
보장,Noun,정형돈,1
보지,Noun,정준하,2
보태,Noun,김태호,1
보호,Noun,박명수,1
보호,Noun,정형돈,1
보호자,Noun,박명수,1
본,Verb,길,1
본,Verb,김태호,1
본,Verb,노홍철,3
본,Verb,박명수,1
본,Verb,유재석,2
본,Verb,정준하,1
본,Verb,정형돈,1
본,Verb,최단비,1
본거,Verb,길,2
본건,Verb,유재석,1
본명,Noun,유재석,1
본명,Noun,정준하,1
본인,Noun,길,1
본인,Noun,김태호,3
본인,Noun,노홍철,1
본인,Noun,박명수,3
본인,Noun,유재석,5
본인,Noun,장진영,1
본인,Noun,정형돈,1
본인,Noun,최단비,1
볼,Noun,노홍철,1
봐,Verb,김태호,1
봐,Verb,유재석,1
봐,Verb,정준하,2
봐도,Verb,정형돈,1
봐야지,Verb,박명수,1
봐야하니까,Verb,유재석,1
봐야하니까,Verb,정준하,1
봐요,Verb,박명수,1
봤다고,Verb,최단비,2
봤습니까,Verb,유재석,1
봤습니까,Verb,정준하,1
봤습니다,Verb,노홍철,1
봤어요,Verb,길,1
봤어요,Verb,노홍철,1
봤을,Verb,김태호,1
봤을,Verb,최단비,1
부르고,Verb,유재석,2
부르냐,Verb,박명수,1
부모님,Noun,박명수,2
부여,Noun,노홍철,2
부족하면,Adjective,박명수,1
부터,Josa,최단비,1
분,Noun,노홍철,1
분,Noun,박명수,2
분,Noun,유재석,5
분,Noun,정준하,2
분,Noun,정형돈,3
분량,Noun,정형돈,1
분명히,Adjective,정준하,1
분명히,Adjective,정형돈,1
분위기,Noun,김태호,1
분위기,Noun,정준하,1
불,Noun,길,1
불경기,Noun,박명수,1
불구,Noun,정형돈,1
불렀습니까,Verb,정형돈,1
불순,Noun,길,1
불안하긴,Adjective,정준하,1
불안하니까,Adjective,정형돈,1
불쾌하죠,Adjective,길,1
불행한,Adjective,길,1
비밀,Noun,김태호,1
비슷한,Adjective,김태호,1
빠지세요,Verb,박명수,1
빠진,Verb,박명수,1
빨,Noun,정준하,1
빨리,Adverb,박명수,1
뿐,Noun,유재석,1
사,Modifier,노홍철,1
사건,Noun,장진영,1
사건,Noun,정준하,2
사건,Noun,정형돈,1
사건,Noun,판사,1
사기꾼,Noun,노홍철,1
사기죄,Noun,모두,2
사람,Noun,길,1
사람,Noun,노홍철,1
사람,Noun,박명수,2
사람,Noun,유재석,1
사람,Noun,장진영,2
사람,Noun,정준하,1
사람,Noun,정형돈,1
사람,Noun,최단비,1
사법연수원,Noun,박명수,1
사생활,Noun,박명수,1
사실,Noun,길,1
사실,Noun,김태호,1
사실,Noun,노홍철,3
사실,Noun,박명수,2
사실,Noun,유재석,1
사실,Noun,정형돈,3
사용,Noun,노홍철,1
사적,Noun,정준하,1
사회,Noun,정준하,2
산재,Noun,박명수,1
산재,Noun,유재석,1
산재,Noun,정형돈,1
살,Noun,박명수,1
살기,Noun,박명수,1
살리려고,Verb,박명수,1
살아남았겠습니까,Verb,박명수,1
살아있,Verb,길,2
살아있다는,Verb,길,2
살이,Noun,정형돈,1
살짝,Noun,김태호,1
살찐,Noun,노홍철,1
상관,Noun,정형돈,1
상관없는,Adjective,정형돈,1
상당히,Adjective,김태호,1
상당히,Adjective,정준하,1
상식,Noun,길,1
상태,Noun,정형돈,1
상황,Noun,정형돈,1
상황,Noun,최단비,2
새,Noun,노홍철,1
새벽,Noun,정형돈,1
생각,Noun,길,4
생각,Noun,김태호,2
생각,Noun,노홍철,4
생각,Noun,유재석,4
생각,Noun,정준하,3
생각,Noun,정형돈,4
생각,Noun,최단비,4
생면,Noun,박명수,1
생명,Noun,박명수,1
서,Josa,길,4
서,Josa,김태호,1
서,Josa,노홍철,2
서,Josa,유재석,2
서,Josa,장진영,1
서,Josa,정형돈,3
서,Josa,최단비,2
서,Verb,김태호,1
서른,Modifier,박명수,1
서른,Noun,유재석,1
서른,Noun,정준하,1
서요,Noun,노홍철,1
서운하시겠는데,Adjective,노홍철,1
섞여있겠죠,Verb,길,1
선서,Noun,김태호,1
선서,Noun,판사,3
섭취,Noun,정준하,1
섰는데,Verb,유재석,1
성,Noun,길,1
성,Suffix,최단비,1
성사,Noun,길,1
세,Noun,박명수,1
세네,Modifier,김태호,1
세번,Noun,박명수,1
셨습,Noun,정형돈,1
셰프,Noun,유재석,1
소란,Noun,박명수,1
소리,Noun,김태호,1
소리,Noun,유재석,2
소리,Noun,정준하,1
소리,Noun,정형돈,2
소릴,Noun,유재석,1
소립,Noun,정형돈,1
소변,Noun,길,4
소변,Noun,노홍철,2
소변,Noun,장진영,1
소변,Noun,정준하,2
소변,Noun,정형돈,1
소변,Noun,최단비,3
소장,Noun,기자들,1
소장,Noun,장진영,3
소장,Noun,정형돈,1
소장,Noun,판사,2
소중하고,Adjective,노홍철,1
소중합니다,Adjective,길,1
속,Noun,정준하,1
속옷,Noun,정형돈,1
손,Noun,박명수,1
손,Noun,정형돈,2
손상,Noun,정형돈,1
손해,Noun,정준하,4
손해배상,Noun,박명수,1
손해배상,Noun,정준하,2
솔직하게,Adjective,박명수,2
솔직히,Adjective,유재석,1
솜털,Noun,노홍철,1
쇼,Noun,길,1
쇼,Noun,유재석,1
쇼,Noun,정준하,1
쇼,Noun,판사,1
수,Noun,길,3
수,Noun,노홍철,1
수,Noun,박명수,1
수,Noun,정준하,1
수,Noun,정형돈,1
수,Noun,최단비,2
수화기,Noun,김태호,1
술,Noun,김태호,2
술,Noun,노홍철,1
술,Noun,장진영,2
술,Noun,정형돈,2
술자리,Noun,정준하,1
숨기거나,Verb,김태호,1
스럽게,Josa,정형돈,1
스케쥴,Noun,정준하,1
스탠드,Noun,노홍철,1
스탠드,Noun,장진영,1
스탠드,Noun,정준하,1
스탭,Noun,길,1
스탭들,Noun,길,1
승리,Noun,길,2
승리,Noun,유재석,1
승소,Noun,박명수,1
승소,Noun,정준하,1
승소,Noun,정형돈,2
시,Noun,길,1
시간,Noun,김태호,1
시간,Noun,박명수,1
시력,Noun,길,1
시력,Noun,박명수,2
시민,Noun,노홍철,1
시오,Noun,안내인,1
시작,Noun,정준하,1
시작,Noun,판사,1
시켜주겠습니까,Verb,박명수,1
시키거나,Verb,박명수,1
시키겠습니까,Verb,박명수,1
시킵니다,Verb,박명수,2
식,Suffix,박명수,1
신데요,Verb,유재석,1
신빙,Noun,최단비,1
신성한,Adjective,노홍철,2
신청,Noun,장진영,1
신청,Noun,정형돈,2
신체,Noun,길,1
실,Noun,정준하,2
실루엣,Noun,김태호,1
실루엣,Noun,노홍철,2
실오라기,Noun,김태호,1
실제,Noun,정형돈,1
싫어요,Adjective,길,1
심각한,Adjective,노홍철,1
심각한,Adjective,정형돈,1
심령,Noun,박명수,1
심문,Noun,길,1
심문,Noun,유재석,1
심문,Noun,정준하,1
심문,Noun,정형돈,1
심문,Noun,판사,7
심심하면,Adjective,정준하,1
심장,Noun,박명수,1
십,Modifier,길,1
십,Modifier,안내인,1
싶어서,Verb,길,1
싶었습니까,Verb,최단비,1
싶은,Verb,길,1
싶은건,Verb,길,1
싸고,Verb,김태호,1
싸는걸,Verb,길,1
싸지,Verb,길,2
싸지,Verb,유재석,1
싼,Verb,길,1
싼,Verb,김태호,1
싼,Verb,노홍철,4
싼,Verb,박명수,1
싼,Verb,유재석,3
싼,Verb,장진영,1
싼,Verb,정준하,4
싼다고,Verb,노홍철,1
쌀,Noun,정형돈,1
쌌냐,Verb,박명수,1
쌌네,Verb,박명수,1
쌌다,Verb,박명수,1
쌌다,Verb,장진영,1
쌌다,Verb,정준하,3
쌌다고,Verb,유재석,3
쌌습니까,Verb,정형돈,1
쌌습니다,Verb,김태호,1
쌌어,Verb,박명수,3
쌌어요,Verb,길,1
쏘고,Verb,김태호,1
쏘고,Verb,노홍철,1
쓰고,Verb,정준하,1
쓰는,Verb,정준하,1
쓰도록,Verb,정형돈,2
쓰지,Verb,길,1
씨,Noun,김태호,1
씨,Noun,노홍철,4
씨,Noun,장진영,2
씨,Noun,정형돈,2
씨,Noun,최단비,3
씨,Suffix,기자들,1
씨,Suffix,길,1
씨,Suffix,김태호,2
씨,Suffix,노홍철,2
씨,Suffix,박명수,1
씨,Suffix,유재석,3
씨,Suffix,정준하,7
씨,Suffix,정형돈,2
씻어주기,Verb,노홍철,1
아,Exclamation,길,2
아,Exclamation,김태호,4
아,Exclamation,노홍철,1
아,Exclamation,박명수,3
아,Exclamation,유재석,2
아,Exclamation,정준하,3
아,Exclamation,정형돈,6
아,Josa,박명수,1
아,Josa,유재석,1
아가씨,Noun,박명수,1
아까부터,Adjective,정형돈,1
아냐,Verb,김태호,1
아냐,Verb,박명수,1
아뇨,Noun,길,1
아뇨,Noun,유재석,1
아는,Verb,정준하,1
아니,Adjective,길,11
아니,Adjective,노홍철,4
아니,Adjective,박명수,5
아니,Adjective,유재석,13
아니,Adjective,정준하,7
아니,Adjective,정형돈,3
아니겠습니까,Adjective,유재석,1
아니고,Adjective,유재석,1
아니고,Adjective,정준하,2
아니고,Adjective,최단비,1
아니고요,Adjective,박명수,1
아니구요,Adjective,정준하,1
아니기,Adjective,최단비,1
아니냐,Adjective,노홍철,1
아니냐고,Adjective,정준하,1
아니다,Adjective,노홍철,2
아니라,Adjective,길,2
아니라,Adjective,정준하,1
아니라고,Adjective,노홍철,1
아니야,Adjective,노홍철,1
아니야,Adjective,정준하,1
아니었죠,Adjective,길,1
아니에요,Adjective,박명수,2
아니에요,Adjective,정형돈,2
아니오,Adjective,김태호,1
아니오,Adjective,최단비,1
아니죠,Adjective,최단비,1
아니지,Adjective,유재석,1
아니하고,Adjective,김태호,1
아닙니까,Adjective,노홍철,1
아닙니까,Adjective,박명수,1
아닙니까,Adjective,정준하,2
아닙니까,Adjective,정형돈,2
아닙니까,Adjective,최단비,1
아닙니다,Adjective,노홍철,1
아닙니다,Adjective,정형돈,1
아무,Noun,정준하,1
아세요,Verb,박명수,1
아세요,Verb,유재석,1
아시,Noun,정준하,2
아시,Noun,정형돈,1
아시다시피,Verb,노홍철,1
아십니까,Verb,정준하,1
아우,Noun,길,1
아유,Noun,정준하,1
아이,Noun,박명수,2
아이,Noun,정형돈,1
아이고,Exclamation,길,1
아이고,Exclamation,정형돈,1
아저씨,Noun,박명수,1
아저씨,Noun,유재석,1
아주,Noun,노홍철,2
아주,Noun,유재석,1
아주,Noun,정준하,2
아직,Adverb,길,1
아침,Noun,김태호,1
아침,Noun,유재석,1
안,Noun,길,2
안,Noun,유재석,1
안,Noun,정준하,1
안,Noun,정형돈,1
안,Noun,최단비,1
안,VerbPrefix,길,1
안,VerbPrefix,김태호,1
안,VerbPrefix,박명수,9
안,VerbPrefix,유재석,2
안,VerbPrefix,정준하,1
안,VerbPrefix,정형돈,1
안경,Noun,정준하,1
안되죠,Adjective,정준하,1
안된다는,Adjective,박명수,1
안된다는,Adjective,정형돈,1
안됩니까,Adjective,박명수,1
안좋은,Adjective,길,1
앉아계세요,Verb,길,1
앉아주십시오,Verb,안내인,1
않고,Verb,정준하,1
않는,Verb,김태호,1
않습니까,Verb,노홍철,1
않습니까,Verb,정준하,2
않습니다,Verb,길,2
않습니다,Verb,김태호,1
않아,Verb,박명수,1
않아가지고,Verb,정형돈,1
않아요,Verb,박명수,1
않았고,Verb,길,1
않았구요,Verb,유재석,1
않았는데,Verb,노홍철,1
않았다,Verb,유재석,1
않았다고,Verb,유재석,1
않았다고,Verb,정준하,1
않았다는,Verb,길,1
않았다는,Verb,정형돈,1
않았습니까,Verb,노홍철,1
않았습니다,Verb,길,4
않았습니다,Verb,유재석,1
않았을까요,Verb,유재석,1
않으셨나요,Verb,길,1
않으셨죠,Verb,길,1
않을,Verb,노홍철,1
알,Noun,김태호,1
알,Noun,유재석,1
알,Noun,장진영,1
알,Noun,정준하,1
알,Noun,정형돈,1
알겠습니다,Verb,김태호,1
알겠습니다,Verb,판사,1
알고싶지도,Verb,박명수,1
알고있는게,Verb,유재석,1
알고있습니다,Verb,유재석,1
알려,Verb,장진영,1
알려지지,Verb,정준하,1
알려진,Verb,노홍철,1
알려진,Verb,정준하,1
알렸습니다,Verb,노홍철,1
알아보고,Verb,길,1
알아보는,Verb,박명수,1
알아봐요,Verb,유재석,1
알아요,Verb,박명수,1
알았다면은,Verb,길,1
알았어,Verb,박명수,1
알았죠,Verb,길,1
알어,Verb,박명수,1
알코올,Noun,정준하,1
앞,Noun,길,1
앞,Noun,박명수,2
앞,Noun,유재석,1
앞,Noun,정준하,1
앞,Noun,판사,1
애,Noun,길,2
애,Noun,정준하,1
애칭,Noun,길,1
앨범,Noun,길,1
야,Exclamation,박명수,1
야,Exclamation,유재석,1
야,Exclamation,정준하,1
야,Exclamation,정형돈,5
야,Josa,길,2
야,Josa,노홍철,1
야,Josa,박명수,1
야,Josa,유재석,1
양보,Noun,유재석,1
양심,Noun,김태호,1
얘,Noun,박명수,1
얘기,Noun,길,8
얘기,Noun,김태호,4
얘기,Noun,노홍철,3
얘기,Noun,박명수,1
얘기,Noun,유재석,7
얘기,Noun,장진영,1
얘기,Noun,정준하,5
얘기,Noun,정형돈,1
얘기,Noun,최단비,1
어,Eomi,김태호,2
어,Eomi,노홍철,1
어,Eomi,박명수,1
어,Noun,최단비,1
어,Suffix,정형돈,1
어느,Modifier,김태호,1
어둠,Noun,정준하,1
어떡해요,Adjective,박명수,1
어떤,Adjective,길,1
어떤,Adjective,유재석,1
어떤,Adjective,정형돈,1
어떻게,Adjective,노홍철,1
어떻게,Adjective,박명수,5
어떻게,Adjective,유재석,1
어떻게,Adjective,정준하,2
어떻게,Adjective,정형돈,1
어떻습니까,Adjective,노홍철,1
어렸을,Verb,유재석,1
어른,Noun,정준하,2
어른이시죠,Verb,정준하,1
어릴,Verb,노홍철,1
어머님,Noun,박명수,1
어어,Noun,정형돈,1
어우,Noun,정준하,2
어젯밤,Noun,정준하,1
어쩔,Adverb,박명수,1
어회,Noun,박명수,1
억,Noun,노홍철,2
억울하니까,Adjective,박명수,1
억울해서,Adjective,길,1
언,Modifier,정형돈,1
언급,Noun,정준하,1
언제,Noun,정형돈,1
얻은,Verb,유재석,1
얼마,Noun,박명수,1
얼마,Noun,정준하,1
얼마,Noun,최단비,1
얼마나,Noun,박명수,1
얼토당토않은,Adjective,노홍철,1
엄마,Noun,길,1
엄마,Noun,김태호,1
엄청난,Adjective,정준하,2
업,Noun,정형돈,1
없고,Adjective,노홍철,1
없고,Adjective,정형돈,1
없는,Adjective,길,1
없는,Adjective,김태호,2
없는,Adjective,유재석,1
없는가,Adjective,유재석,1
없는거겠죠,Adjective,길,1
없는거죠,Adjective,노홍철,1
없다,Adjective,정형돈,1
없다고,Adjective,정준하,2
없다면,Adjective,길,1
없습니까,Adjective,박명수,1
없습니다,Adjective,길,1
없습니다,Adjective,김태호,1
없습니다,Adjective,노홍철,1
없습니다,Adjective,유재석,2
없어,Adjective,노홍철,1
없어요,Adjective,노홍철,1
없어요,Adjective,유재석,1
없었거든요,Adjective,노홍철,1
없었구요,Adjective,김태호,1
없었구요,Adjective,노홍철,1
없었던,Adjective,정형돈,1
없었습니다,Adjective,길,1
없었습니다,Adjective,김태호,1
없었으면,Adjective,박명수,1
없으세요,Adjective,기자들,1
없으신,Adjective,판사,1
없을,Adjective,최단비,1
없이,Adverb,박명수,2
없이,Adverb,유재석,1
없이,Adverb,정형돈,1
없잖습니까,Adjective,노홍철,1
없죠,Adjective,길,1
없지만,Adjective,길,1
엎,Noun,정형돈,1
에,Josa,길,13
에,Josa,김태호,11
에,Josa,노홍철,12
에,Josa,박명수,7
에,Josa,안내인,1
에,Josa,유재석,12
에,Josa,장진영,6
에,Josa,정준하,10
에,Josa,정형돈,21
에,Josa,최단비,4
에게,Josa,길,6
에게,Josa,노홍철,6
에게,Josa,모두,1
에게,Josa,유재석,1
에게,Josa,장진영,2
에게,Josa,정준하,1
에게,Josa,정형돈,1
에게,Josa,최단비,2
에게는,Josa,길,1
에게는,Josa,정형돈,1
에게도,Josa,정준하,1
에게보다,Josa,노홍철,1
에는,Josa,길,1
에는,Josa,유재석,3
에는,Josa,정형돈,1
에다,Josa,김태호,1
에다,Josa,장진영,1
에도,Josa,노홍철,1
에도,Josa,정형돈,1
에서,Josa,길,5
에서,Josa,김태호,2
에서,Josa,노홍철,4
에서,Josa,박명수,5
에서,Josa,안내인,1
에서,Josa,장진영,2
에서,Josa,정준하,7
에서,Josa,정형돈,1
에서,Josa,최단비,3
에서,Josa,판사,1
에서는,Josa,노홍철,1
에서는,Josa,정형돈,1
에서는,Josa,최단비,1
에요,Josa,길,1
에요,Josa,노홍철,2
에요,Josa,박명수,4
에요,Josa,유재석,5
에이,Noun,박명수,1
에이,Noun,정준하,1
여기,Noun,노홍철,1
여기,Noun,정준하,1
여기,Noun,정형돈,1
여기,Noun,최단비,1
여기까,Verb,길,2
여기까,Verb,박명수,3
여덟,Noun,유재석,1
여덟,Noun,정준하,1
여러가지,Noun,유재석,1
여러분,Noun,길,2
여러분,Noun,노홍철,1
여부,Noun,장진영,1
여자,Noun,정준하,1
여자친구,Noun,박명수,1
여쭤,Verb,박명수,1
여쭤,Verb,유재석,1
여쭤,Verb,정형돈,1
여태,Noun,박명수,1
여행,Noun,유재석,1
여행,Noun,정준하,2
여행가,Noun,최단비,1
연예계,Noun,정형돈,1
열,Noun,박명수,2
였습니까,Verb,정형돈,1
였습니다,Verb,길,1
영재,Noun,유재석,3
영재,Noun,정형돈,1
영제,Noun,정준하,1
옆,Noun,김태호,3
옆,Noun,박명수,1
옆,Noun,유재석,2
옆,Noun,정준하,1
예,Modifier,박명수,2
예,Modifier,유재석,1
예,Noun,길,5
예,Noun,김태호,1
예,Noun,노홍철,1
예,Noun,모두,1
예,Noun,박명수,9
예,Noun,유재석,8
예,Noun,정준하,2
예,Noun,판사,3
예능,Noun,노홍철,1
예능,Noun,박명수,1
예능,Noun,장진영,1
예능,Noun,정형돈,1
예능인,Noun,노홍철,2
예능인,Noun,박명수,3
예전,Noun,길,1
예전,Noun,김태호,1
오,Noun,모두,1
오늘,Noun,유재석,3
오늘,Noun,장진영,1
오랜,Modifier,박명수,1
오렌지색,Noun,박명수,1
오른쪽,Noun,김태호,1
오리,Noun,기자들,1
오리,Noun,길,2
오리,Noun,유재석,1
오셔가지고,Verb,정준하,1
오시는게,Verb,박명수,1
오십니다,Verb,박명수,1
오줌,Noun,길,4
오줌,Noun,김태호,3
오줌,Noun,노홍철,5
오줌,Noun,박명수,2
오줌,Noun,유재석,1
오줌,Noun,장진영,2
오줌,Noun,정준하,2
오줌,Noun,정형돈,2
오줌싸개,Noun,길,3
오줌싸개,Noun,노홍철,3
오줌싸개,Noun,박명수,3
오줌싸개,Noun,유재석,3
오줌싸개,Noun,장진영,2
오줌싸개,Noun,정준하,1
오줌싸개,Noun,정형돈,5
오줌싸개,Noun,최단비,3
오케이,Noun,유재석,1
오히려,Noun,김태호,3
오히려,Noun,노홍철,2
오히려,Noun,정형돈,1
온,Noun,정형돈,1
올라가있고,Verb,유재석,1
옷,Noun,길,1
옷,Noun,정준하,1
옷방,Noun,길,1
옷방,Noun,장진영,1
옷장,Noun,노홍철,1
옷장,Noun,정형돈,1
와,Josa,노홍철,2
와,Josa,정준하,4
와,Verb,정준하,1
와가지고,Verb,박명수,1
와는,Josa,정형돈,1
와이프,Noun,박명수,1
왔고,Verb,노홍철,1
왜,Noun,길,1
왜,Noun,노홍철,1
왜,Noun,박명수,3
왜,Noun,유재석,4
왜,Noun,정준하,3
왜,Noun,정형돈,5
외부,Noun,정형돈,1
요,Foreign,유재석,1
요,Josa,길,3
요,Josa,노홍철,1
요,Josa,박명수,5
요,Josa,유재석,4
요,Josa,정준하,4
요,Josa,정형돈,1
요,Noun,길,3
요,Noun,유재석,1
요,Noun,정준하,1
요,Noun,정형돈,1
요구,Noun,정형돈,2
우겨,Verb,정형돈,1
우기,Noun,유재석,1
우려,Noun,정준하,1
우리,Noun,노홍철,2
우리,Noun,박명수,1
우리,Noun,유재석,7
우리,Noun,정준하,4
우리,Noun,정형돈,3
우리나라,Noun,정형돈,1
우와,Exclamation,모두,1
울,Noun,박명수,1
움직이는,Verb,김태호,1
웃고,Verb,정형돈,1
웃기는게,Verb,노홍철,1
웃기려고,Verb,길,1
웃긴데,Verb,노홍철,1
웃으실거라,Verb,유재석,1
웃음,Noun,최단비,1
웅변,Noun,노홍철,1
원고,Noun,길,1
원고,Noun,노홍철,2
원고,Noun,모두,1
원고,Noun,박명수,1
원고,Noun,장진영,4
원고,Noun,정준하,9
원고,Noun,정형돈,7
원고,Noun,판사,5
원래,Noun,김태호,1
원래,Noun,정형돈,1
원하시는,Adjective,판사,1
원한거,Adjective,노홍철,1
원한거야,Adjective,노홍철,1
위,Noun,길,1
위,Noun,노홍철,1
위자료,Noun,노홍철,1
위증,Noun,길,1
위증,Noun,김태호,1
위증,Noun,정준하,2
위증죄,Noun,판사,1
위치,Noun,정형돈,1
위해,Noun,노홍철,1
위해,Noun,유재석,1
